JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU
396566.batch,batch,,,COMPLETED,80,00:04:23,4.43M,00:00.353
396566.extern,extern,,,COMPLETED,80,00:04:23,0,00:00.001
396566.0,python3,,,COMPLETED,80,00:04:22,1811.93M,04:15.462
396567,Q06S260P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:19,,04:11.671
396567.batch,batch,,,COMPLETED,80,00:04:19,4.43M,00:00.336
396567.extern,extern,,,COMPLETED,80,00:04:19,0,00:00:00
396567.0,python3,,,COMPLETED,80,00:04:17,1842.58M,04:11.333
396568,Q06S265P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:28,,04:20.947
396568.batch,batch,,,COMPLETED,80,00:04:28,4.43M,00:00.338
396568.extern,extern,,,COMPLETED,80,00:04:28,0,00:00.001
396568.0,python3,,,COMPLETED,80,00:04:26,1824.14M,04:20.608
396569,Q06S270P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:28,,04:20.884
396569.batch,batch,,,COMPLETED,80,00:04:28,4.43M,00:00.320
396569.extern,extern,,,COMPLETED,80,00:04:28,0,00:00.001
396569.0,python3,,,COMPLETED,80,00:04:27,1856.49M,04:20.562
396570,Q06S275P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:37,,04:29.041
396570.batch,batch,,,COMPLETED,80,00:04:37,4.46M,00:00.337
396570.extern,extern,,,COMPLETED,80,00:04:37,0,00:00:00
396570.0,python3,,,COMPLETED,80,00:04:35,6339.84M,04:28.702
396571,Q06S280P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:39,,04:33.236
396571.batch,batch,,,COMPLETED,80,00:04:39,4.43M,00:00.341
396571.extern,extern,,,COMPLETED,80,00:04:39,0,00:00.001
396571.0,python3,,,COMPLETED,80,00:04:38,3757.64M,04:32.894
396572,Q06S285P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:05:03,,04:56.749
396572.batch,batch,,,COMPLETED,80,00:05:03,4.43M,00:00.332
396572.extern,extern,,,COMPLETED,80,00:05:04,0,00:00.001
396572.0,python3,,,COMPLETED,80,00:05:02,2013.17M,04:56.415
396573,Q06S290P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:53,,04:45.956
396573.batch,batch,,,COMPLETED,80,00:04:53,4.43M,00:00.332
396573.extern,extern,,,COMPLETED,80,00:04:53,0,00:00.001
396573.0,python3,,,COMPLETED,80,00:04:52,2046.31M,04:45.623
396574,Q06S295P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:57,,04:51.267
396574.batch,batch,,,COMPLETED,80,00:04:57,4.43M,00:00.336
396574.extern,extern,,,COMPLETED,80,00:04:57,0,00:00.001
396574.0,python3,,,COMPLETED,80,00:04:56,2076.69M,04:50.929
396594,Q12S05P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:16:51,,16:29.881
396594.batch,batch,,,COMPLETED,80,00:16:51,4.43M,00:00.343
396594.extern,extern,,,COMPLETED,80,00:16:51,0,00:00.001
396594.0,python3,,,COMPLETED,80,00:16:50,23866.59M,16:29.536
396595,Q12S105P01DsCUS,dgoncalves,hmem1,FAILED,80,02:58:10,,02:57:51
396595.batch,batch,,,FAILED,80,02:58:10,4.43M,00:00.341
396595.extern,extern,,,COMPLETED,80,02:58:10,0,00:00.001
396595.0,python3,,,CANCELLED,80,02:58:09,122408.51M,02:57:50
396596,Q12S205P01DsCUS,dgoncalves,hmem1,FAILED,80,02:21:41,,02:21:30
396596.batch,batch,,,FAILED,80,02:21:41,4.51M,00:00.333
396596.extern,extern,,,COMPLETED,80,02:21:41,0,00:00:00
396596.0,python3,,,CANCELLED,80,02:21:39,115766.44M,02:21:29
396597,Q12S305P01DsCUS,dgoncalves,hmem1,FAILED,80,02:21:19,,02:21:10
396597.batch,batch,,,FAILED,80,02:21:19,4.43M,00:00.357
396597.extern,extern,,,COMPLETED,80,02:21:19,0,00:00.001
396597.0,python3,,,CANCELLED,80,02:21:18,113416.89M,02:21:09
396598,Q12S405P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,05:20:07,,05:20:03
396598.batch,batch,,,CANCELLED,80,05:20:19,4.43M,00:00.316
396598.extern,extern,,,COMPLETED,80,05:20:19,0,00:00.001
396598.0,python3,,,CANCELLED,80,05:20:22,266587.62M,05:20:02
396599,Q12S505P01DsCUS,dgoncalves,hmem1,FAILED,80,02:27:15,,02:27:05
396599.batch,batch,,,FAILED,80,02:27:15,4.43M,00:00.354
396599.extern,extern,,,COMPLETED,80,02:27:15,0,00:00.001
396599.0,python3,,,CANCELLED,80,02:27:14,122702.34M,02:27:05
396600,Q12S605P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,03:05:08,,03:05:08
396600.batch,batch,,,CANCELLED,80,03:05:18,4.43M,00:00.329
